450905-0,0B943B-0,7085CA-0,2AD75E-0,1A9B20-0,BAAF62-0,75A2B6-0,DF309F-0,0BF51C-0,B85D75-0,180E1A-0,82CCF5-0,3F05F3-0,40067F-0,0E1F8E-0,E9CFE0,F8FF1A,56E219,77DA77,22CBD6,4F2EAD,062CD8
chr12:93861251-93861260,45,35,27,26,130,40,119,125,26,36,116,37,38,40,78,171,18,25,30,33,53,25
chr12:93861301-93861310,59,44,25,29,143,35,119,133,21,37,109,39,42,45,78,188,19,17,39,38,57,28
chr12:93861351-93861360,49,38,19,29,137,39,124,111,24,34,101,35,46,52,80,160,22,21,35,32,51,18
chr12:93861401-93861410,40,31,20,28,132,37,121,105,21,36,90,30,44,51,77,151,18,24,36,32,50,16
chr12:93861451-93861460,39,32,20,28,128,39,122,108,21,35,89,27,47,53,75,155,19,22,33,34,50,12
chr12:93861501-93861510,43,30,22,27,122,38,118,105,24,36,96,26,43,51,75,150,17,24,33,23,51,12
chr12:94071201-94071210,72,68,58,27,138,41,153,147,29,49,189,61,45,65,77,214,22,43,59,50,103,38
chr12:94071251-94071260,82,57,55,30,140,45,154,154,36,59,202,60,53,57,88,234,22,42,46,65,103,34
chr12:94401801-94401810,6,10,3,7,23,2,33,29,6,7,25,5,9,5,12,33,4,3,3,5,15,3
chr12:94401851-94401860,9,8,6,13,27,9,42,35,6,9,28,6,13,5,12,40,5,3,4,4,13,3
chr12:94853701-94853710,92,66,35,35,175,51,190,174,26,52,187,43,57,68,98,286,32,52,45,50,106,48
chr12:94853751-94853760,90,59,49,35,191,55,189,161,19,46,163,42,54,61,107,276,22,53,51,48,93,30
chr12:95397451-95397460,43,32,26,19,123,26,112,87,33,34,109,30,36,39,81,153,24,32,28,24,46,23
chr12:95397501-95397510,41,53,37,21,116,35,95,87,24,29,114,45,40,37,75,142,14,30,37,34,56,24
chr12:95467401-95467410,63,29,34,19,116,30,109,105,26,32,113,29,28,42,80,169,17,24,37,29,65,14
chr12:95467451-95467460,52,36,36,29,111,26,107,99,21,29,113,33,34,38,81,168,11,20,36,31,54,22
chr12:95611351-95611360,148,107,81,56,266,86,248,246,60,107,307,109,90,117,203,373,42,88,103,89,162,73
chr12:95611401-95611410,152,115,84,74,296,96,286,275,60,120,348,106,102,128,222,395,42,95,111,94,173,74
chr12:95867851-95867860,66,42,32,24,138,36,148,131,24,34,133,39,55,56,85,202,21,30,41,44,67,33
chr12:96252651-96252660,78,58,44,26,137,37,145,136,27,38,124,50,41,56,96,206,15,32,46,46,91,35
chr12:96252701-96252710,82,52,41,25,118,30,137,122,23,37,131,50,44,52,88,212,23,27,43,38,74,29
chr12:96336801-96336810,61,43,35,33,135,36,132,110,17,44,101,27,44,53,81,167,15,34,35,32,46,18
chr12:96429451-96429460,71,46,49,36,135,45,137,136,29,52,164,57,44,60,97,201,28,42,48,52,87,33
chr12:96709701-96709710,10,6,3,4,27,6,21,25,7,0,11,5,5,4,14,23,2,3,6,7,8,5
chr12:96709751-96709760,8,5,3,4,25,5,18,22,5,0,9,5,5,4,13,23,2,3,4,7,8,4
chr12:96771801-96771810,12,11,6,3,40,9,55,51,10,11,43,2,12,14,19,63,8,6,6,5,17,6
chr12:96771851-96771860,12,14,7,2,51,11,64,46,8,10,47,11,12,13,14,63,6,6,6,8,19,4
chr12:96771901-96771910,13,13,5,3,48,13,59,42,9,13,48,14,5,13,25,51,3,5,7,7,20,5
chr12:96828101-96828110,21,21,19,10,55,11,50,58,5,19,58,12,16,11,31,72,8,4,19,12,26,12
chr12:96828151-96828160,23,21,18,13,65,9,58,58,8,15,76,15,18,17,28,85,10,10,17,16,37,11
chr12:96828201-96828210,27,15,12,10,55,7,51,46,10,15,60,11,19,20,25,52,8,7,17,18,25,6
chr12:96839701-96839710,26,20,20,10,52,13,68,53,7,12,76,23,14,13,25,100,9,23,17,15,27,8
chr12:96839751-96839760,18,18,16,14,37,19,55,51,6,16,74,24,15,14,30,88,9,17,16,14,25,10
chr12:96883251-96883260,52,35,27,22,87,18,68,80,11,30,102,31,37,22,43,104,9,20,34,40,39,18
chr12:96883301-96883310,55,37,27,20,91,24,76,94,18,27,121,38,44,27,48,112,9,28,43,44,54,16
chr12:96883351-96883360,58,35,23,20,100,20,97,93,14,25,104,31,50,33,55,126,4,22,44,30,60,21
chr12:98791451-98791460,19,27,8,8,52,13,30,40,13,23,52,30,23,18,23,55,8,17,12,21,14,18
chr12:98884951-98884960,14,15,12,14,35,10,29,29,6,9,34,8,20,15,13,35,4,8,16,11,24,12
chr12:98987351-98987360,107,70,79,38,142,70,139,143,27,51,206,70,59,87,70,208,24,69,66,63,121,48
chr12:98987401-98987410,120,90,76,37,147,67,171,171,19,60,209,74,79,83,110,240,30,79,68,84,118,49
chr12:100557801-100557810,18,9,10,9,45,14,53,53,6,11,50,15,11,11,40,47,10,10,11,13,28,6
chr12:100557851-100557860,21,12,21,11,57,11,67,55,13,7,67,15,13,13,40,68,11,10,13,17,25,7
chr12:100594451-100594460,75,49,40,33,172,57,153,166,29,47,161,51,48,69,92,253,29,34,48,32,71,30
chr12:100660851-100660860,119,79,62,40,137,61,155,127,24,69,217,62,84,85,102,201,38,71,67,71,115,42
chr12:101030401-101030410,8,11,8,5,8,4,2,6,4,7,13,6,3,7,2,1,0,5,5,16,9,11
chr12:101030451-101030460,8,12,10,6,7,4,2,6,4,7,12,6,6,7,2,1,1,5,6,16,12,11
chr12:101030501-101030510,10,13,14,8,7,4,3,7,4,7,14,7,6,7,2,2,1,5,6,17,14,13
chr12:101030551-101030560,11,15,16,8,8,4,3,8,4,7,17,9,8,7,2,2,1,6,7,18,18,14
chr12:101030601-101030610,12,15,16,8,8,4,3,8,4,7,17,9,8,7,2,1,1,5,7,18,18,14
chr12:101030651-101030660,10,15,15,8,6,4,3,8,4,7,15,9,8,7,2,1,1,5,7,18,15,14
chr12:101030701-101030710,9,14,14,7,6,4,4,6,3,6,15,9,7,7,2,1,1,5,6,17,15,14
chr12:101030751-101030760,9,11,13,7,5,4,4,5,3,6,14,8,5,7,2,1,1,5,4,15,14,13
chr12:101673801-101673810,28,39,27,18,62,30,76,61,15,33,71,18,31,28,34,89,15,24,24,30,51,17
chr12:101673851-101673860,38,40,38,23,66,28,82,61,13,36,98,34,38,32,34,99,23,27,26,34,67,29
chr12:101673901-101673910,32,30,34,18,78,32,76,62,15,37,80,40,28,36,31,94,23,21,24,33,52,22
chr12:102217801-102217810,28,28,12,15,91,17,99,87,13,17,67,23,17,24,46,106,7,18,17,21,41,21
chr12:102217851-102217860,33,29,15,15,87,24,100,78,14,23,79,30,15,24,49,110,8,16,21,28,44,18
chr12:102217901-102217910,31,24,13,10,81,26,91,63,13,17,83,18,22,19,51,107,7,15,18,27,52,21
chr12:102224751-102224760,113,84,57,41,213,89,214,190,35,73,221,100,65,98,95,273,40,65,87,82,122,66
chr12:102224801-102224810,116,79,67,39,221,64,209,181,31,70,226,83,66,88,113,273,36,72,87,97,137,71
chr12:102311651-102311660,24,13,6,3,41,7,33,19,9,25,33,5,14,18,38,50,14,12,16,8,38,6
chr12:102455801-102455810,76,62,40,32,170,41,169,169,22,52,153,61,52,72,111,244,26,40,38,48,66,30
chr12:102455851-102455860,79,68,37,33,180,45,162,166,26,51,185,64,56,80,106,252,25,45,44,62,97,40
chr12:102455901-102455910,76,74,40,28,165,34,164,161,22,42,186,54,54,70,88,241,25,46,58,51,84,37
chr12:102513901-102513910,64,53,34,25,124,45,102,107,19,45,122,31,26,53,78,177,10,28,42,47,75,27
chr12:102513951-102513960,52,45,39,23,126,44,106,104,17,35,123,33,26,53,84,164,8,28,34,41,68,33
chr12:104359551-104359560,68,56,35,22,93,37,93,110,20,39,132,42,37,46,61,137,15,34,47,45,86,27
chr12:104359601-104359610,63,48,36,17,93,36,95,108,20,32,120,43,35,55,65,145,16,24,48,53,81,24
chr12:104359651-104359660,62,62,41,23,102,42,117,109,25,35,138,46,48,49,76,153,18,27,49,58,85,30
chr12:104458301-104458310,51,39,25,17,71,25,79,71,19,32,72,27,39,33,48,86,21,29,31,50,62,23
chr12:104532001-104532010,101,76,45,42,103,54,108,89,26,67,147,67,56,60,54,114,38,65,65,62,95,46
chr12:104680701-104680710,63,35,26,20,83,28,69,76,17,18,96,24,23,30,56,118,11,32,27,34,62,20
chr12:104680751-104680760,69,46,25,32,88,42,85,82,15,30,97,27,25,44,52,109,14,33,26,34,62,21
chr12:104682651-104682660,36,28,18,4,66,19,59,53,15,18,66,20,28,15,37,68,6,12,26,19,36,16
chr12:104682701-104682710,33,22,8,6,61,13,61,63,15,21,56,19,30,18,47,66,3,15,28,20,47,21
chr12:104697451-104697460,51,27,21,13,66,17,67,74,10,25,75,24,36,27,42,69,13,22,24,29,52,10
chr12:104697501-104697510,43,34,17,16,69,19,77,78,9,30,83,15,29,23,30,77,12,20,21,29,38,12
chr12:105380051-105380060,21,19,16,15,56,22,59,71,12,18,61,18,25,21,36,85,8,15,14,30,43,22
chr12:105380101-105380110,27,15,15,13,61,23,60,66,21,21,51,16,26,18,37,87,6,15,13,31,41,15
chr12:105501451-105501460,74,41,34,20,96,29,110,79,16,37,131,45,51,46,49,131,23,22,31,30,64,25
chr12:105501551-105501560,72,62,35,20,102,23,113,100,17,39,118,44,56,48,58,142,24,35,45,33,57,28
chr12:106751501-106751510,54,52,34,19,81,36,78,77,17,41,101,32,43,35,52,96,23,35,37,40,63,32
chr12:106751551-106751560,62,53,45,23,85,40,89,87,20,50,114,36,45,33,66,114,31,36,46,35,58,32
chr12:106751601-106751610,62,48,37,23,89,39,88,75,21,51,96,29,48,36,65,113,28,38,36,32,55,26
chr12:106751751-106751760,59,44,39,21,82,35,86,72,19,39,88,30,44,35,52,125,33,36,36,31,55,22
chr12:108908901-108908910,57,34,34,13,84,43,72,65,19,36,81,46,45,24,47,106,23,33,36,45,75,32
chr12:108962751-108962760,8,13,10,8,50,10,38,35,2,10,57,13,12,7,23,41,1,9,15,10,26,7
chr12:109027701-109027710,74,65,37,19,83,28,105,79,13,34,109,34,36,43,50,95,16,31,48,39,76,19
chr12:109058751-109058760,31,16,14,7,22,9,26,19,11,17,49,14,25,20,13,30,8,8,10,16,23,15
chr12:109531251-109531260,39,34,29,15,48,38,54,41,7,29,66,25,22,22,33,61,7,19,20,26,47,19
chr12:109531301-109531310,35,34,26,13,37,35,51,47,10,24,75,27,20,20,44,56,8,14,26,31,55,14
chr12:109535851-109535860,70,57,53,14,61,42,77,73,27,39,107,37,34,41,63,89,14,43,47,55,83,31
chr12:109915201-109915210,40,32,22,11,35,26,48,34,10,29,55,18,38,24,42,61,8,20,22,26,29,17
chr12:110011401-110011410,82,76,47,27,96,40,92,70,19,46,134,44,37,57,70,129,25,35,60,68,98,42
chr12:110011451-110011460,70,70,53,26,108,42,102,73,18,51,133,46,35,49,58,125,24,41,55,75,96,39
chr12:110318351-110318360,61,43,32,17,65,32,74,44,9,32,90,30,34,34,43,86,21,23,44,45,65,29
chr12:110318401-110318410,53,48,31,17,78,34,70,46,9,24,114,32,35,33,45,78,21,18,47,44,63,27
chr12:110486351-110486360,54,33,19,12,59,29,77,41,10,19,58,27,31,31,32,65,16,23,26,24,37,18
chr12:110562101-110562110,38,46,33,15,34,25,44,19,9,32,95,29,36,28,37,37,14,22,33,34,54,19
chr12:110562151-110562160,43,44,32,13,37,23,42,24,10,31,75,25,30,31,37,38,11,25,36,31,58,15
chr12:110888151-110888160,72,31,19,17,53,25,66,45,8,33,72,30,28,33,41,71,16,30,25,29,55,16
chr12:110888201-110888210,62,32,21,25,55,18,73,43,5,37,88,29,30,29,42,75,16,36,36,36,67,18
chr12:110939901-110939910,73,64,31,10,74,38,79,52,17,42,120,41,41,45,46,76,20,48,31,48,71,27
chr12:110939951-110939960,75,74,40,12,74,38,77,49,15,42,119,40,36,45,43,89,24,42,32,56,81,26
chr12:111051851-111051860,45,54,25,12,40,22,65,43,8,20,95,29,31,21,33,69,12,20,33,36,57,20
chr12:111051901-111051910,45,44,22,15,44,23,61,38,11,19,70,24,30,26,37,62,10,16,34,29,40,22
chr12:112123851-112123860,40,41,24,11,42,16,48,25,6,28,77,15,34,22,30,52,8,23,21,39,50,23
chr12:112563201-112563210,49,46,36,22,74,40,73,62,9,39,113,34,42,37,54,75,16,25,30,43,58,35
chr12:112563251-112563260,62,69,45,25,76,48,80,69,7,48,123,39,39,52,66,87,17,37,46,57,80,43
chr12:112563301-112563310,55,64,58,23,76,42,75,75,12,43,109,33,40,39,66,85,10,34,39,36,73,34
chr12:113659101-113659110,131,87,64,30,135,60,115,99,19,45,171,57,66,84,77,155,29,68,82,88,123,51
chr12:113796351-113796360,52,47,34,29,66,21,59,52,10,26,115,34,42,29,41,63,23,32,41,54,62,32
chr12:114404201-114404210,63,54,39,22,62,29,60,51,15,30,88,41,49,42,54,74,16,39,33,43,66,34
chr12:114404251-114404260,65,48,41,15,57,33,69,47,17,17,101,26,46,34,59,69,19,29,36,39,70,26
chr12:117175901-117175910,78,79,63,27,109,54,115,101,16,55,171,52,72,58,81,167,25,24,62,55,96,45
chr12:117175951-117175960,67,83,73,31,109,52,120,104,13,64,179,54,75,66,82,189,25,31,55,54,92,48
chr12:117176001-117176010,79,79,69,34,118,41,129,100,17,65,168,58,76,61,73,176,17,28,53,56,108,37
chr12:118454401-118454410,46,32,40,9,57,32,55,43,18,31,80,29,24,32,48,67,9,24,35,33,62,28
chr12:118454451-118454460,39,32,37,9,54,30,49,43,18,33,86,28,20,31,48,63,9,24,35,31,52,28
chr12:118573851-118573860,40,29,30,16,77,32,88,79,17,21,61,27,35,36,47,103,17,29,26,27,61,23
chr12:118573901-118573910,45,31,32,26,89,25,80,88,12,31,75,26,39,33,43,127,11,24,24,26,53,23
chr12:118810851-118810860,111,88,63,39,128,57,112,93,34,62,188,75,68,81,103,153,26,59,90,68,114,40
chr12:120105651-120105660,91,72,46,22,83,43,94,74,18,41,113,42,48,69,92,137,19,36,62,62,73,32
chr12:120105701-120105710,81,49,33,21,73,42,83,57,17,40,98,40,39,62,80,114,18,29,40,47,59,27
chr12:120524951-120524960,66,49,44,20,78,37,102,58,15,39,115,35,41,45,53,96,25,35,48,45,78,28
chr12:120525001-120525010,72,64,50,25,81,46,112,67,17,47,145,43,51,52,61,117,26,45,59,58,96,47
chr12:120525051-120525060,66,66,45,24,67,46,88,74,19,32,122,40,56,44,69,104,21,39,56,45,62,40
chr12:120689951-120689960,35,29,18,6,38,14,39,29,4,17,71,20,19,13,24,36,12,15,20,17,27,8
chr12:120740051-120740060,10,19,9,5,31,10,24,22,3,15,39,10,20,9,20,25,6,8,23,16,20,8
chr12:120740101-120740110,10,21,10,3,34,11,31,22,3,17,44,10,15,10,20,27,7,12,23,12,22,5
chr12:120755451-120755460,56,60,42,19,77,39,50,52,17,42,123,38,37,56,39,65,11,26,39,47,81,24
chr12:120755501-120755510,41,47,37,15,53,29,42,46,14,37,119,34,33,50,39,56,6,23,41,46,75,24
chr12:120933851-120933860,70,56,29,18,61,32,78,44,11,32,113,36,31,38,34,72,20,33,38,60,58,31
chr12:121019251-121019260,35,34,16,10,29,17,43,25,5,19,60,16,26,20,21,40,14,18,23,25,42,12
chr12:121163601-121163610,37,25,21,12,29,17,31,22,13,21,46,18,29,19,35,31,14,21,27,33,43,17
chr12:121454301-121454310,29,19,17,6,30,8,31,32,5,10,60,19,27,24,21,25,6,11,23,18,24,17
chr12:121790301-121790310,52,54,28,16,57,25,48,38,17,40,67,30,16,27,39,55,13,34,30,37,64,15
chr12:122124951-122124960,42,42,40,18,49,24,60,32,6,29,101,14,31,39,44,35,15,34,33,39,64,27
chr12:122125001-122125010,45,32,32,25,52,29,51,37,4,28,92,19,29,33,45,40,16,36,32,36,64,23
chr12:122227951-122227960,66,54,24,13,86,23,69,45,10,30,92,35,34,40,35,68,25,45,36,38,58,21
chr12:122277501-122277510,56,37,38,22,49,36,71,24,10,17,96,27,32,35,36,48,29,30,48,49,84,32
chr12:122277551-122277560,58,46,44,34,64,46,69,34,13,28,118,39,37,40,33,49,27,33,48,45,94,30
chr12:122277601-122277610,56,41,44,31,70,49,59,29,14,32,109,38,44,40,40,48,22,33,44,48,83,27
chr12:122326601-122326610,52,43,34,21,52,33,62,49,11,31,91,29,42,39,45,51,16,29,42,40,63,22
chr12:122985551-122985560,47,54,34,6,55,32,73,49,12,27,104,35,35,33,48,65,18,33,36,35,58,21
chr12:124069051-124069060,56,39,25,14,48,28,47,30,9,20,64,22,27,26,25,44,14,22,28,22,46,12
chr12:124118301-124118310,31,29,23,8,51,17,50,36,5,20,66,16,25,22,25,35,8,24,36,28,57,24
chr12:124155601-124155610,19,27,23,6,32,18,28,21,12,15,52,15,24,10,24,28,8,16,18,20,27,16
chr12:124155651-124155660,27,23,28,9,31,14,23,21,9,13,49,17,17,10,21,32,5,21,13,19,36,19
chr12:125391451-125391460,13,16,8,8,19,10,21,19,7,17,41,12,18,6,17,14,4,10,20,15,23,8
chr12:125391501-125391510,19,26,12,8,20,11,24,13,10,14,43,8,21,11,11,11,4,12,25,19,28,6
chr12:125401901-125401910,66,47,32,16,67,34,75,52,13,30,84,44,38,45,62,92,15,21,36,32,61,27
chr12:125401951-125401960,64,48,36,21,76,37,79,48,13,31,102,40,42,44,54,92,20,25,42,42,62,28
chr12:125534201-125534210,48,41,24,17,39,17,62,37,12,16,75,37,27,37,41,85,12,17,27,34,39,15
chr12:125534251-125534260,55,54,23,15,61,26,64,41,10,29,84,30,29,35,53,95,11,21,26,37,46,15
chr12:125534301-125534310,49,41,20,15,54,22,58,51,15,31,71,30,35,26,58,91,16,23,34,42,55,18
chr12:127650551-127650560,217,177,150,81,264,76,224,140,67,140,187,123,186,144,140,169,58,77,158,177,180,131
chr12:127650601-127650610,255,191,171,91,290,110,265,152,82,168,238,133,209,159,155,216,67,104,151,207,206,137
chr12:127650651-127650660,202,151,123,80,219,79,180,117,59,132,180,110,151,130,113,150,50,81,113,144,167,104
chr12:127650901-127650910,225,173,147,87,251,90,183,127,78,161,235,130,154,145,164,173,52,70,159,189,210,133
chr12:129589801-129589810,10,14,13,1,0,1,1,0,3,6,11,9,0,3,0,0,1,0,13,14,17,14
chr12:129589851-129589860,11,17,16,1,0,1,1,0,5,7,12,13,0,3,0,0,1,0,13,14,17,16
chr12:129589901-129589910,11,18,17,1,0,1,1,0,5,7,13,13,0,4,0,0,1,0,13,18,19,17
chr12:129589951-129589960,14,19,19,1,1,1,1,0,5,7,15,13,0,4,1,0,4,1,14,18,19,18
chr12:129590001-129590010,17,22,20,2,2,1,1,0,5,7,18,15,0,4,1,0,4,1,18,20,25,21
chr12:129590051-129590060,18,22,25,2,7,1,4,1,5,8,19,15,7,6,3,0,5,1,18,21,25,21
chr12:129590101-129590110,19,22,25,2,7,2,5,2,5,8,19,16,9,6,3,0,5,1,18,21,25,21
chr12:129590151-129590160,19,22,25,2,6,2,5,2,5,8,19,17,9,6,3,0,4,1,18,21,25,21
chr12:129590201-129590210,17,22,24,2,6,2,4,2,5,8,19,16,8,6,3,0,3,1,18,21,25,21
chr12:129590251-129590260,17,21,23,2,4,2,4,1,5,8,19,16,7,6,3,0,3,1,17,20,23,21
chr12:129590301-129590310,17,19,22,2,2,2,1,0,5,8,18,15,6,5,2,0,3,1,16,17,21,20
chr12:129590351-129590360,17,17,21,2,2,2,1,0,5,8,17,15,6,5,2,0,2,1,16,17,20,18
chr12:132166851-132166860,70,2,28,7,48,0,11,23,10,10,24,12,31,21,56,45,18,7,36,30,15,16
chr12:132166901-132166910,72,2,32,8,44,0,21,20,12,12,27,11,25,24,57,44,17,6,38,34,17,18
chr12:133405701-133405710,50,29,29,20,54,25,57,38,7,32,64,24,40,29,41,66,12,31,33,35,44,13
chr12:133405751-133405760,57,33,29,17,56,30,50,35,11,36,78,31,41,30,41,68,15,32,36,37,46,17
chr12:133464301-133464310,96,70,44,16,64,39,71,52,20,25,122,43,58,56,60,100,29,31,40,47,66,22
chr12:133481501-133481510,16,14,8,4,21,12,18,13,5,15,33,8,5,5,11,17,6,9,17,12,20,11
chr12:133562951-133562960,45,21,13,8,43,19,57,37,14,18,51,19,30,21,31,60,4,18,20,12,32,15
chr12:133613901-133613910,71,32,37,24,60,29,52,48,15,32,91,18,32,35,37,54,9,28,47,37,52,20
chr12:133613951-133613960,77,36,33,27,60,28,53,53,13,33,100,24,30,42,35,65,8,28,49,51,63,17
chr12:133614001-133614010,78,30,39,17,52,28,56,57,14,32,87,24,31,43,41,57,12,25,43,37,52,17
chr12:133706951-133706960,89,45,42,28,75,49,78,71,20,40,105,33,42,45,57,110,18,48,38,33,59,30
chr12:133707001-133707010,80,45,37,27,72,49,80,71,22,39,104,36,41,49,60,115,18,38,35,31,59,32
chr12:133707051-133707060,77,52,41,28,74,46,80,64,20,41,111,35,41,48,66,115,20,41,44,31,63,28
chr13:20207701-20207710,78,65,56,29,138,44,150,130,43,72,167,48,68,86,105,224,30,47,59,70,81,49
chr13:20207751-20207760,56,61,44,26,138,37,152,126,32,60,151,41,68,78,96,201,29,39,51,53,73,39
chr13:20207801-20207810,72,57,37,24,140,32,154,114,20,55,125,31,76,63,100,196,18,34,57,52,60,34
chr13:20357101-20357110,48,41,27,20,65,24,81,57,12,27,76,26,28,31,49,104,18,16,29,28,49,18
chr13:20737701-20737710,12,15,9,13,26,4,28,29,7,9,33,11,12,5,9,34,4,4,9,10,16,4
chr13:21050151-21050160,26,19,23,15,78,25,102,77,8,20,73,36,20,17,27,140,9,20,20,22,30,13
chr13:21348101-21348110,56,57,35,19,91,51,97,78,28,38,98,44,36,47,73,138,15,36,57,37,70,32
chr13:21476901-21476910,42,36,21,15,94,34,107,80,19,25,76,39,36,31,49,124,12,25,29,28,44,17
chr13:21476951-21476960,44,34,22,14,77,37,98,78,14,20,74,35,46,28,50,122,15,28,31,22,48,19
chr13:21714601-21714610,93,71,35,28,107,44,103,95,32,54,150,49,44,31,70,124,22,35,59,51,101,33
chr13:21714651-21714660,86,66,48,25,113,41,126,102,33,50,154,62,51,33,84,146,23,37,63,58,106,43
chr13:21750801-21750810,57,55,34,16,110,42,121,104,22,42,114,45,48,42,86,147,13,37,37,42,78,32
chr13:21872201-21872210,51,44,30,21,112,34,88,88,26,29,124,35,40,48,61,146,17,27,41,38,63,25
chr13:21872251-21872260,60,44,31,31,117,50,111,111,31,35,125,42,43,54,78,164,23,34,31,33,52,24
chr13:22178051-22178060,116,74,46,42,208,70,208,171,33,68,221,59,74,95,114,289,34,61,68,68,89,36
chr13:22178101-22178110,118,72,49,49,206,73,221,170,41,76,201,66,59,95,118,310,30,62,48,62,85,33
chr13:22178151-22178160,119,78,52,48,205,71,220,170,44,74,189,64,57,97,118,308,29,64,48,61,76,35
chr13:22178201-22178210,124,78,52,49,210,70,221,175,41,76,190,63,57,98,115,301,28,64,51,59,73,36
chr13:22178251-22178260,123,78,52,50,220,70,220,187,40,76,195,64,55,105,121,304,32,63,51,61,76,37
chr13:22178301-22178310,125,87,46,47,216,82,218,192,40,68,208,67,57,106,121,317,32,68,50,59,88,44
chr13:22689001-22689010,52,21,18,11,57,24,53,54,19,22,55,17,31,35,59,112,8,27,23,18,29,14
chr13:23949701-23949710,141,93,82,50,192,75,191,159,43,85,235,65,81,115,110,260,32,92,92,84,137,71
chr13:23949751-23949760,140,96,88,50,151,73,168,140,52,90,255,87,69,127,95,214,37,82,116,86,164,90
chr13:24153451-24153460,73,70,58,40,122,45,135,130,31,50,134,57,62,72,74,202,22,55,34,53,78,37
chr13:24463551-24463560,72,28,20,25,92,32,81,56,19,46,66,28,30,34,57,188,18,36,31,23,46,21
chr13:24463601-24463610,71,40,33,27,99,38,99,58,19,47,75,33,43,37,65,199,19,38,35,37,58,27
chr13:24825751-24825760,39,32,16,9,92,25,109,85,13,31,115,29,22,33,56,136,11,15,26,30,52,18
chr13:24839301-24839310,28,22,25,9,59,13,66,46,9,12,42,23,16,16,33,68,8,13,18,10,21,14
chr13:25497051-25497060,67,70,47,12,120,48,129,106,28,50,105,45,46,43,69,188,29,41,55,53,79,36
chr13:25497101-25497110,76,68,50,16,123,41,116,95,19,45,116,41,45,49,68,186,26,50,46,46,73,27
chr13:25861601-25861610,72,44,43,15,99,34,114,114,17,32,111,43,50,69,74,165,21,37,44,31,60,23
chr13:25875651-25875660,58,46,43,19,102,37,99,91,17,32,127,42,36,47,90,176,16,22,37,33,83,23
chr13:25875701-25875710,72,50,54,15,121,41,96,87,26,47,139,50,34,48,86,190,18,29,43,41,81,23
chr13:25875751-25875760,75,49,44,14,120,43,102,92,25,45,130,49,46,52,81,171,17,27,52,42,80,18
chr13:26760651-26760660,82,56,25,27,87,44,105,86,20,31,96,47,40,51,63,158,15,32,41,25,48,21
chr13:26760701-26760710,86,58,31,22,98,39,99,80,21,25,107,43,33,51,61,163,18,41,44,33,41,26
chr13:26796051-26796060,91,63,34,26,139,50,161,128,24,55,139,45,44,73,106,197,31,58,42,41,68,33
chr13:26796101-26796110,102,52,35,29,133,49,141,130,27,64,124,38,41,81,99,192,26,52,35,34,69,29
chr13:27825451-27825460,55,31,22,15,99,36,78,77,21,29,100,23,40,28,65,129,16,24,41,37,58,15
chr13:27825501-27825510,60,30,27,17,94,26,91,81,18,36,107,41,47,36,62,134,20,30,37,41,56,19
chr13:27825551-27825560,55,27,23,18,89,28,82,80,18,33,103,35,39,36,59,123,22,27,35,37,52,19
chr13:27825601-27825610,58,29,24,18,85,28,79,81,18,33,105,36,40,36,58,122,23,27,35,38,56,19
chr13:27825651-27825660,74,44,30,21,96,38,93,84,19,41,126,42,49,43,64,126,22,34,43,52,66,24
chr13:28033751-28033760,74,44,57,35,61,30,55,46,43,40,44,45,81,31,41,68,26,47,48,71,52,37
chr13:28034001-28034010,59,38,32,34,50,18,43,30,38,40,38,42,41,29,48,48,24,31,40,67,32,24
chr13:28034051-28034060,64,38,35,33,53,19,49,35,42,44,42,42,51,30,49,50,26,31,42,67,30,25
chr13:29233251-29233260,46,38,20,20,86,27,105,66,18,27,95,30,17,40,49,148,14,26,28,33,35,16
chr13:29293101-29293110,94,54,48,38,144,41,188,114,28,55,114,54,61,92,117,253,30,67,53,55,85,29
chr13:29293151-29293160,109,78,56,38,157,56,200,124,35,56,139,60,65,101,133,272,32,77,69,84,104,31
chr13:29293201-29293210,95,55,52,32,136,48,150,107,23,45,135,51,56,79,119,242,22,58,71,78,115,40
chr13:30424801-30424810,87,63,56,21,97,52,95,76,19,34,131,46,40,50,50,126,18,30,46,53,70,27
chr13:30689251-30689260,33,26,24,7,58,20,60,47,23,21,78,27,36,11,47,76,9,14,25,25,37,18
chr13:30706901-30706910,32,21,13,9,55,18,43,40,12,13,56,19,28,22,40,43,3,17,15,22,34,12
chr13:30881301-30881310,61,40,26,11,87,42,109,86,25,30,90,25,37,31,60,139,17,42,28,33,43,27
chr13:31182201-31182210,10,11,7,3,31,9,37,30,3,16,43,14,10,9,19,27,7,8,9,8,17,11
chr13:31248251-31248260,59,45,28,7,63,33,66,48,15,22,67,32,30,38,42,85,11,43,37,33,46,17
chr13:31248301-31248310,60,52,31,10,80,30,70,56,17,25,74,37,33,47,60,87,13,45,31,33,57,18
chr13:31248351-31248360,67,44,35,10,85,26,68,51,19,29,78,37,28,51,71,89,9,43,34,35,64,18
chr13:31287451-31287460,27,8,23,6,24,13,24,14,6,12,23,12,17,26,30,52,15,21,19,16,33,13
chr13:31287501-31287510,27,8,21,8,20,14,22,10,7,16,24,8,17,27,21,50,16,19,19,22,29,19
chr13:31309651-31309660,23,13,14,4,24,12,32,27,8,11,29,13,11,22,22,42,3,6,18,15,28,11
chr13:32316451-32316460,12,17,11,7,25,8,15,13,5,12,24,11,12,12,18,25,3,12,13,11,20,8
